"State","Lag_Order","LogLikelihood","AIC","BIC","DIC","R2_overall","R2_adjusted","R2_gdp_growth","R2_employment_growth","R2_EPU_value_Quarterly","R2_composite_rates","R2_growth_STLFSI4"
"utah",2,-42.5909725176817,195.181945035363,217.066185039274,195.181945035363,0.981270159513959,1,0.323091558118251,0.874036863781719,0.468851657951273,0.887496215297739,0.0227267018575442
"florida",2,-40.3444100889269,190.688820177854,212.573060181764,190.688820177854,0.964716672509124,1,0.0037274639848921,0.904322027670126,0.741667269840237,0.847626670227248,-0.149900050062919
"louisiana",2,-46.947804180865,203.89560836173,225.77984836564,203.89560836173,0.963598916324406,1,0.125786936786558,0.445376398540381,0.749166957255484,0.85287969808282,-0.100864922613884
"tennessee",2,-46.7417686263864,203.483537252773,225.367777256683,203.483537252773,0.960679845628972,1,0.026824660140032,0.782864448663485,0.615410013112072,0.822735176821517,-0.0251561521356714
"oregon",2,-58.581539994267,227.163079988534,249.047319992444,227.163079988534,0.94241803243795,1,0.232229241978246,0.460347611656846,0.339520151654302,0.75877398493314,0.0281083789501093
"kentucky",2,-56.239412120203,222.478824240406,244.363064244316,222.478824240406,0.939984707292898,1,0.258500110480717,0.590866003770363,0.357602013081991,0.791485610329929,-0.03326233514816
"georgia",2,-50.3578611895725,210.715722379145,232.599962383055,210.715722379145,0.93215047174001,1,0.288170826788458,0.616215770024121,0.404408588268677,0.855119713853607,-0.188483482194494
"alabama",2,-51.280225292918,212.560450585836,234.444690589746,212.560450585836,0.931988563103196,1,-0.104211402372857,0.682742980728966,0.412014516090099,0.801591111633373,-0.104080824636159
"connecticut",2,-45.247388219856,200.494776439712,222.379016443622,200.494776439712,0.92937531568954,1,0.11293511345796,0.833389484872774,0.670793522197226,0.831635335081914,-0.102599089785494
"idaho",2,-42.8670480003822,195.734096000765,217.618336004675,195.734096000765,0.928863591114277,1,-0.0848596834141624,0.860084083546617,0.53536285859,0.813892093733609,-0.197843511484355
"indiana",2,-54.3088726303751,218.61774526075,240.501985264661,218.61774526075,0.919180919702282,1,0.248323864110515,0.394063232571566,0.652157906917868,0.813586779209653,0.083661509144344
"nebraska",2,-55.4253045428641,220.850609085728,242.734849089639,220.850609085728,0.902718484946525,1,-0.127492865750271,0.461624194655128,0.49930512886769,0.753532848930371,-0.148409547997951
"maine",2,-56.1212955132311,222.242591026462,244.126831030373,222.242591026462,0.897826269937589,1,0.083945831658264,0.307007914394009,0.411011620247677,0.776635134856955,0.106843414201949
"missouri",2,-53.7778386104938,217.555677220988,239.439917224898,217.555677220988,0.89774723684833,1,0.255543638789062,0.636488939075598,0.483814062601413,0.809637076731523,-0.00209680578538607
"colorado",2,-56.5574302408545,223.114860481709,244.999100485619,223.114860481709,0.895337359332518,1,0.216581831476897,0.697977468764741,0.286341072658243,0.781962766180809,-0.0971174333548483
"illinois",2,-49.2451167263462,208.490233452692,230.374473456603,208.490233452692,0.891522332154498,1,0.144212035463347,0.705770596515903,0.465001217596647,0.753615941552798,-0.209989383651098
"michigan",2,-48.8516597193358,207.703319438672,229.587559442582,207.703319438672,0.886287441386785,1,0.115287760718966,0.593271573412407,0.596979836861498,0.854131772759721,-0.178880681430869
"oklahoma",2,-59.9305157823889,229.861031564778,251.745271568688,229.861031564778,0.883370785124171,1,-0.121695047153654,0.43250700928628,0.434314434558111,0.815823208139096,-0.10631238143574
"iowa",2,-57.1477341992638,224.295468398528,246.179708402438,224.295468398528,0.865746303240594,1,0.0368470454782878,0.419159595439097,0.522002990793843,0.779879331368027,-0.0678484520051514
"ohio",2,-47.3319008560769,204.663801712154,226.548041716064,204.663801712154,0.850615721395682,1,-0.0449009840530972,0.780968436617596,0.390018004923493,0.803681257948345,-0.189469863492833
"maryland",2,-55.8089698309996,221.617939661999,243.50217966591,221.617939661999,0.831855959103652,1,-0.209209641219054,0.412686538050182,0.29903944175454,0.772618365935041,0.0365630886860794
"pennsylvania",2,-63.4192498011909,236.838499602382,258.722739606292,236.838499602382,0.826688765000782,1,0.216263410994444,-0.0341029354707048,0.288752832571546,0.789806388183895,-0.0661306759002736
"alaska",2,-55.6792347961421,221.358469592284,243.242709596195,221.358469592284,0.803722570993354,1,0.608516893117237,0.268694845980174,-0.00172236624329924,0.76382883672307,-0.0466766924931712
"texas",2,-59.2321116735897,228.464223347179,250.34846335109,228.464223347179,0.790446252578978,1,0.13582725722516,0.425808115581541,0.375492985111574,0.769116491903862,-0.105490436562582
"kansas",2,-65.4628346177354,240.925669235471,262.809909239381,240.925669235471,0.726529027943533,1,-0.242426194044514,0.334807475417495,0.46210856158006,0.741722825715524,-0.108970068149218
"wisconsin",2,-60.6189331683745,231.237866336749,253.122106340659,231.237866336749,0.67410463936463,1,0.0128513269136883,0.342063194074571,0.33392227493424,0.780865416282174,-0.168612907324034
"virginia",2,-58.8087760544284,227.617552108857,249.501792112767,227.617552108857,0.66370549749146,1,-0.11436846243091,-0.0440246177351293,0.383585556037469,0.790345532675773,-0.158540174681321
"california",2,-53.4377149243675,216.875429848735,238.759669852645,216.875429848735,0.653258407469915,1,0.311965528521618,0.486244767707913,0.585954079526866,0.766983396307096,-0.154965330956764
"montana",2,-57.9475917741975,225.895183548395,247.779423552305,225.895183548395,0.612731929382486,1,0.208066364310412,0.324032961383062,0.279869022620891,0.816537781960728,-0.0652971503181541
"washington",2,-52.2896845372978,214.579369074596,236.463609078506,214.579369074596,0.559648010054516,1,0.193169476444553,0.615514651342335,0.213542766371671,0.791094627924436,-0.0562648376841288
