State,decision_tree_score,gpr_score,rf_score,xgb_score
oklahoma,0.0097143773436651,0.0057547313457317,0.0059108776,0.006880767
texas,0.0088364503144259,0.0057614164522049,0.004924298,0.007974491
kansas,0.008252843627609,0.0073109555523031,0.0034841932,0.008677471
washington,0.0081454372190382,0.0052985176405625,0.007350982,0.008036508
connecticut,0.0080054237411723,0.0056811182981431,0.004730851,0.0075897756
iowa,0.0078411919958095,0.0055561756223512,0.0046126335,0.0058038156
utah,0.0076980680373716,0.00342397915871,0.006231139,0.0074040196
colorado,0.0072393172585949,0.0057246305533888,0.0073746247,0.006013275
virginia,0.0071179165864691,0.0046347552512881,0.0062031965,0.005871594
nebraska,0.0064541092159803,0.005723673062505,0.004647024,0.006356081
oregon,0.006422174183565,0.0054692048954658,0.006162358,0.0069604036
california,0.0062250546635086,0.0041969353073288,0.006839422,0.0041309875
ohio,0.0058862190875458,0.005375814341298,0.006439632,0.0045566605
maryland,0.0057103388088739,0.0054403774982593,0.0073036943,0.0047688177
idaho,0.00567784250491,0.005112628655853,0.0062870234,0.0059069637
kentucky,0.0056299336511965,0.0061762057851241,0.0042386362,0.005077174
alabama,0.0055107356534419,0.0053111362304941,0.005726028,0.004088826
pennsylvania,0.0052812012061891,0.0050733524263039,0.004126867,0.0057016886
tennessee,0.0044110115292839,0.0060445156271744,0.004098925,0.005547648
indiana,0.0042011461409463,0.0057749633112824,0.0056550973,0.005791337
maine,0.0040636178703655,0.0056293170124901,0.004668518,0.004158414
montana,0.0038867992587606,0.0054680967407932,0.0063644024,0.0054994654
wisconsin,0.0037381464798751,0.0046374642357104,0.004438531,0.0037257606
alaska,0.0033677353909905,0.0052209631707705,0.0041419123,0.0058409614
missouri,0.0029264359212466,0.0050666811575301,0.0048490684,0.0044482383
florida,0.0027338441278634,0.0040242475699268,0.0065857917,0.0036076033
michigan,0.0026943728175546,0.0047454318957175,0.004593289,0.0024067487
illinois,0.0022983784785932,0.0050182058440316,0.004687863,0.0033975723
georgia,0.0012517772273051,0.005540236459245,0.0067018596,0.0033545769
louisiana,-0.0017703857319776,0.0052636480650749,0.004870563,-0.00021181871
